state,centre,commodity,variety,unit,category,date,retail_price
andhra pradesh,chittoor,moong,split,kg.,food,01/01/01,24
andhra pradesh,guntur,moong,split,kg.,food,01/01/01,26
andhra pradesh,kurnool,moong,split,kg.,food,01/01/01,25.5
andhra pradesh,vishakhapatnam,moong,split,kg.,food,01/01/01,82.92979841
arunachal pradesh,itanagar,moong,split,kg.,food,01/01/01,82.92979841
assam,dibrugarh,moong,split,kg.,food,01/01/01,82.92979841
assam,dispur,moong,split,kg.,food,01/01/01,82.92979841
assam,guwahati,moong,split,kg.,food,01/01/01,82.92979841
assam,silchar,moong,split,kg.,food,01/01/01,82.92979841
bihar,gaya,moong,split,kg.,food,01/01/01,82.92979841
bihar,hajipur,moong,split,kg.,food,01/01/01,28
bihar,muzaffarpur,moong,split,kg.,food,01/01/01,82.92979841
bihar,patna,moong,split,kg.,food,01/01/01,27
goa,panaji,moong,split,kg.,food,01/01/01,28
gujarat,gandhi nagar,moong,split,kg.,food,01/01/01,24
gujarat,rajkot,moong,split,kg.,food,01/01/01,82.92979841
gujarat,surat,moong,split,kg.,food,01/01/01,82.92979841
gujarat,vadodra,moong,split,kg.,food,01/01/01,25
haryana,hissar,moong,split,kg.,food,01/01/01,82.92979841
haryana,karnal,moong,split,kg.,food,01/01/01,28
himachal pradesh,mandi,moong,split,kg.,food,01/01/01,32
himachal pradesh,shimla,moong,split,kg.,food,01/01/01,82.92979841
jammu kashmir,jammu,moong,split,kg.,food,01/01/01,82.92979841
jammu kashmir,shrinagar,moong,split,kg.,food,01/01/01,82.92979841
jharkhand,dhanbad,moong,split,kg.,food,01/01/01,28
jharkhand,ranchi,moong,split,kg.,food,01/01/01,82.92979841
karnataka,bangalore,moong,split,kg.,food,01/01/01,28
karnataka,bijapur,moong,split,kg.,food,01/01/01,82.92979841
karnataka,hubli,moong,split,kg.,food,01/01/01,82.92979841
karnataka,tumkur,moong,split,kg.,food,01/01/01,27
kerala,ernakulam,moong,split,kg.,food,01/01/01,32
kerala,khozhikode,moong,split,kg.,food,01/01/01,30
kerala,trivandrum,moong,split,kg.,food,01/01/01,82.92979841
madhya pradesh,bhillai,moong,split,kg.,food,01/01/01,82.92979841
madhya pradesh,bhopal,moong,split,kg.,food,01/01/01,28
madhya pradesh,gwalior,moong,split,kg.,food,01/01/01,82.92979841
madhya pradesh,indore,moong,split,kg.,food,01/01/01,82.92979841
madhya pradesh,rewa,moong,split,kg.,food,01/01/01,82.92979841
madhya pradesh,sehore,moong,split,kg.,food,01/01/01,27
maharashtra,aurangabad,moong,split,kg.,food,01/01/01,82.92979841
maharashtra,mumbai,moong,split,kg.,food,01/01/01,82.92979841
maharashtra,nagpur,moong,split,kg.,food,01/01/01,82.92979841
maharashtra,nasik,moong,split,kg.,food,01/01/01,28
maharashtra,pune,moong,split,kg.,food,01/01/01,82.92979841
manipur,imphal,moong,split,kg.,food,01/01/01,82.92979841
meghalaya,shillong,moong,split,kg.,food,01/01/01,82.92979841
mizoram,aizwal,moong,split,kg.,food,01/01/01,34
nagaland,kohima,moong,split,kg.,food,01/01/01,82.92979841
national capital,delhi,moong,split,kg.,food,01/01/01,28
orissa,bhawanipatna,moong,split,kg.,food,01/01/01,82.92979841
orissa,bhubneshwar,moong,split,kg.,food,01/01/01,27
